items,Items_id,Sub Category,Items_Category,Price,Discount,Rating,No_of_Review,BuyingProspect
Heaton Pecans Praline Pecans Tin 3 lbs. ,314,Gift Baskets,9,59.99,0,4,27,108
The Popcorn Factory 4 Gallon Valentines Day Popcorn Tin,315,Gift Baskets,9,49.99,0,4.4,44,193.6
"Plaza Golden Osetra Caviar, 8.8 oz",316,Gift Baskets,9,549.99,0,4.7,79,371.3
"Pacific Plaza Golden Osetra Caviar 2 oz, 2-pack",317,Gift Baskets,9,279.99,0,4.4,348,1531.2
"Chocolate Covered Company LOVE Belgian Chocolate Covered Strawberries, 12 count",318,Gift Baskets,9,59.99,0,0,0,0
Vacaville Fruit Company 34 oz. Dried Fruit & Nut Gift Tray,319,Gift Baskets,9,34.99,0,0,0,0
"Damn, Man Executive Deluxe Box Snack Collection",320,Gift Baskets,9,79.99,0,4.2,26,109.2
Valentine’s Day Teddy Bear Tote,321,Gift Baskets,9,49.99,0,4.6,63,289.8
Chocolate Covered Company Valentine's Day Belgian 6 Chocolate Covered Strawberries and 6 Mini Cheesecake Pops,322,Gift Baskets,9,59.99,0,4.2,21,88.2
5 High Sweet Heart Valentine's Day Tower,323,Gift Baskets,9,34.99,0,4.3,204,877.2
Sugarfina Vice Cafe Candy Bento Box 8 Small Cube,324,Gift Baskets,9,59.99,0,4.1,10,41
Jacques Torres 14 oz. Assorted Hot Chocolate Tin & Candy Cane Hot Chocolate Tin,325,Gift Baskets,9,59.99,0,4,4,16
Sugarfina 4 Large Cube Variety Pack,326,Gift Baskets,9,69.99,0,4,4,16
Mrs. Fields Happy Valentine's Day Cookie Combo Tin,327,Gift Baskets,9,46.99,0,3.9,830,3237
"D’Artagnan Ultimate Steak Lovers Gift Box, 6 Total Packs, 4.25 Lbs. Total",328,Gift Baskets,9,229.99,0,4.4,553,2433.2
Plaza Osetra Kilo Caviar Pack,329,Gift Baskets,9,1399.99,0,4.6,57,262.2
"Plaza Golden Osetra Caviar Kilo Pack, 35.2 oz",330,Gift Baskets,9,1999.99,0,5,2,10
Ferrara's Bakery 2 lb Italian Cookie Tray and Struffoli,331,Gift Baskets,9,59.99,0,4.2,137,575.4
"Around the World 15 oz Spicy Nuts, 2-pack Tin, Total 30 oz",332,Gift Baskets,9,59.99,0,3.2,4,12.8
"Sugarfina XOXO Candy Bento Box , 8 count",333,Gift Baskets,9,54.99,0,0,0,0
Old Fashioned Whiskey Time & Snacks Gift Set ,334,Gift Baskets,9,69.99,0,5,2,10
The Fruit Company Heart of Hearts Valentine's Day Tower,335,Gift Baskets,9,54.99,0,0,0,0
Sugar Plum Valentine's Boo Box,336,Gift Baskets,9,39.99,0,0,0,0
Godiva Valentine's Day Heart Assorted Chocolate Gift Box 14 pieces,337,Gift Baskets,9,29.99,0,0,0,0
"Kirkland Signature Super B-Complex with Electrolytes, 500 Tablets",338,Kirkland Signature Grocery,11,15.99,2.5,4.7,2218,10424.6
"Kirkland Signature Mature Formula Chicken, Rice and Egg Dog Food 40 lb.",339,Kirkland Signature Grocery,11,52.99,0,4.5,1398,6291
Kirkland Signature Chicken and Rice Cat Food 25 lbs.,340,Kirkland Signature Grocery,11,36.99,0,4.6,2196,10101.6
"Kirkland Signature Puppy Formula Chicken, Rice and Vegetable Dog Food 20 lb.",341,Kirkland Signature Grocery,11,32.99,0,4.5,2366,10647
Kirkland Signature Small Formula Chicken & Vegetable Dog Food 20 lb.,342,Kirkland Signature Grocery,11,32.99,0,4.7,4394,20651.8
"Kirkland Signature Rwandan Coffee 3 lb, 2-pack",343,Kirkland Signature Grocery,11,37.99,0,4.7,1903,8944.1
Kirkland Signature Nature's Domain Puppy Formula Chicken & Pea Dog Food 20 lb.,344,Kirkland Signature Grocery,11,32.99,0,4.6,1568,7212.8
"Kirkland Signature Adult Formula Lamb, Rice and Vegetable Dog Food 40 lb.",345,Kirkland Signature Grocery,11,52.99,0,4.6,2313,10639.8
